	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3
Cluster-90.0	0	0	0	0	0	0	0	21	3	0	0	28
Cluster-90.1	0	0	0	0	0	0	0	1	1	0	0	6
Cluster-91.0	0	0	0	0	0	0	0	16	0	2	1	11
Cluster-92.0	0	0	0	0	0	0	0	16	0	0	2	0
Cluster-93.0	0	0	0	0	0	0	0	3	0	7	0	0
Cluster-94.0	0	0	0	0	0	0	0	10	0	5	0	0
Cluster-95.0	0	0	0	0	0	0	0	13	0	0	0	0
Cluster-96.0	0	0	0	0	0	0	0	1	0	9	0	2
Cluster-97.0	0	0	0	0	0	0	0	5	6	0	0	0
Cluster-98.0	0	0	0	0	0	0	0	7	0	0	0	8
Cluster-99.0	0	0	0	0	0	0	0	11	0	0	0	0
Cluster-100.0	0	0	0	0	0	0	0	7	0	0	0	6
Cluster-101.0	0	0	0	0	0	0	0	7	1	3	0	0
Cluster-102.0	0	0	0	0	0	0	0	7	0	0	0	3
Cluster-103.0	0	0	0	0	0	0	0	8	4	0	0	4
Cluster-104.0	0	0	0	0	0	0	0	4	0	0	0	6
Cluster-105.0	0	0	0	0	0	0	0	21	29	7	0	0
Cluster-106.0	0	0	0	0	0	0	0	5	4	0	0	3
Cluster-107.0	0	0	0	0	0	0	0	7	0	0	0	5
Cluster-108.0	0	0	0	0	0	0	0	19	0	0	2	0
Cluster-109.0	0	0	0	0	0	0	0	14	0	0	8	0
Cluster-110.0	0	0	0	0	0	0	0	8	6	0	0	1
Cluster-111.0	0	0	0	0	0	0	0	5	6	1	0	0
Cluster-112.0	0	0	0	0	0	0	0	14	0	16	0	0
Cluster-113.0	0	0	0	0	0	0	0	2	6	3	1	0
Cluster-113.1	3	18	17	38	43	57	12	19	8	44	52	41
Cluster-114.0	0	0	0	0	0	0	0	4	0	4	0	6
Cluster-115.0	0	0	0	0	0	0	0	8	9	3	2	3
Cluster-115.1	0	0	0	0	0	0	0	8	3	5	2	0
Cluster-116.0	0	0	0	0	0	0	0	9	1	0	0	0
Cluster-117.0	0	0	0	0	0	0	0	7	4	0	0	0
Cluster-118.0	0	0	0	0	0	0	0	8	2	0	0	0
Cluster-119.0	0	0	0	0	0	0	0	3	0	10	1	0
Cluster-120.0	0	0	0	0	0	0	0	21	0	14	8	9
Cluster-121.0	0	0	0	0	0	0	0	15	0	0	5	0
Cluster-122.0	0	0	0	0	0	0	0	27	0	1	25	0
Cluster-122.1	2	0	0	0	0	0	0	64	0	1	36	1
Cluster-123.0	0	0	0	0	0	0	0	9	4	0	0	0
Cluster-124.0	0	0	0	0	0	0	0	12	0	0	4	0
Cluster-125.0	0	0	0	0	0	0	0	5	7	1	2	0
Cluster-125.1	3	5	0	2	1	0	0	71	32	1	5	6
Cluster-126.0	0	0	0	0	0	0	0	6	0	2	2	0
Cluster-127.0	0	0	0	0	0	0	0	12	0	0	9	0
Cluster-128.0	0	0	0	0	0	0	0	7	0	3	3	2
Cluster-129.0	0	0	0	0	0	0	0	2	6	2	0	0
Cluster-130.0	0	0	0	0	0	0	0	1	0	0	0	9
Cluster-131.0	0	0	0	0	0	0	0	5	3	2	5	0
Cluster-131.1	0	0	0	4	1	0	0	0	0	0	2	0
Cluster-131.2	0	1	0	2	0	0	0	0	2	10	1	0
Cluster-131.3	0	0	0	4	0	3	0	6	5	3	2	0
Cluster-132.0	0	0	0	0	0	0	0	6	4	0	1	1
Cluster-133.0	0	0	0	0	0	0	0	5	0	3	3	7
Cluster-134.0	0	0	0	0	0	0	0	8	0	33	22	0
Cluster-135.0	0	0	0	0	0	0	0	2	0	0	0	25
Cluster-136.0	0	0	0	0	0	0	0	4	2	3	1	0
