	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3
Cluster-7853.1330	0	0	0	0	0	0	2	1	0	1	2	2
Cluster-7853.1331	200	47	59	101	112	98	102	176	92	58	75	48
Cluster-7853.1332	115	98	59	150	127	67	48	41	50	52	62	78
Cluster-7853.1333	0	1	4	5	1	4	4	1	1	3	2	0
Cluster-7853.1334	5	1	0	1	3	0	2	3	2	1	0	1
Cluster-7853.1335	0	0	0	0	0	0	5	7	0	7	0	6
Cluster-7853.1336	7	14	10	16	9	8	8	13	7	9	6	9
Cluster-7853.1337	208	233	94	124	118	91	50	98	140	81	79	97
Cluster-7853.1338	0	1	2	0	0	0	3	0	3	0	0	0
Cluster-7853.1339	177	97	80	76	88	51	141	160	65	53	95	61
Cluster-7853.1340	415	196	117	104	90	132	234	200	82	101	246	141
Cluster-7853.1341	3	2	1	0	0	1	2	0	4	0	0	1
Cluster-7853.1342	0	0	0	0	0	0	1	1	2	1	9	2
Cluster-7853.1343	128	75	16	6	10	9	0	0	0	0	15	8
Cluster-7853.1344	80	46	19	10	0	0	69	1	20	2	0	0
Cluster-7853.1345	5	2	0	0	0	0	1	43	0	7	12	14
Cluster-7853.1346	3	2	0	1	0	0	0	17	0	1	3	1
Cluster-7853.1347	8	27	2	0	0	0	3	1	14	2	0	0
Cluster-7853.1348	510	393	108	65	37	41	119	107	83	46	97	71
Cluster-7853.1349	71	61	8	25	30	16	27	30	20	4	31	1
Cluster-7853.1350	60	115	38	109	84	66	52	83	73	60	68	101
Cluster-7853.1351	188	209	336	161	168	161	394	379	379	250	159	204
Cluster-7853.1352	0	0	1	1	0	0	4	0	2	0	0	1
Cluster-7853.1353	0	0	0	0	0	0	14	5	2	4	3	0
Cluster-7853.1354	0	0	1	4	0	0	2	0	0	1	0	2
Cluster-7853.1355	0	0	0	3	0	0	5	0	2	2	0	1
Cluster-7853.1356	0	0	0	0	0	0	4	1	0	0	1	6
Cluster-7853.1357	129	113	188	61	46	12	163	225	141	51	44	74
Cluster-7853.1358	0	0	0	0	0	0	5	2	0	0	0	1
Cluster-7853.1359	0	0	0	0	0	0	6	5	3	0	0	1
Cluster-7853.1360	0	0	0	0	0	0	1	1	0	9	0	10
Cluster-7853.1361	1	0	0	0	0	0	2	3	1	1	1	0
Cluster-7853.1362	6	7	20	1	19	22	4	1	4	2	17	0
Cluster-7853.1363	0	0	0	0	0	0	4	4	2	0	0	9
Cluster-7853.1364	3	0	0	0	0	0	5	10	13	3	5	0
Cluster-7853.1365	0	0	1	0	2	2	5	7	8	3	5	0
Cluster-7853.1366	3	1	0	3	0	1	1	1	0	0	3	0
Cluster-7853.1367	0	0	0	0	0	0	12	4	1	0	7	0
Cluster-7853.1368	50	8	15	12	9	16	21	23	13	9	14	15
Cluster-7853.1369	2	1	1	0	0	3	2	0	0	0	6	2
Cluster-7853.1370	9	9	4	6	5	6	5	6	6	8	4	5
Cluster-7853.1371	0	0	0	0	0	0	1	0	0	8	0	7
Cluster-7853.1372	0	0	8	0	0	2	11	22	8	3	6	3
Cluster-7853.1373	0	0	0	0	0	0	2	7	0	0	0	0
Cluster-7853.1374	0	0	0	0	0	0	6	0	0	0	0	0
Cluster-7853.1375	18	3	12	6	4	9	13	12	3	5	9	5
Cluster-7853.1376	9	3	2	2	0	5	3	0	0	1	1	1
Cluster-7853.1377	1	0	0	0	0	1	0	5	0	1	12	0
Cluster-7853.1378	82	34	112	49	74	56	36	82	111	43	45	40
Cluster-7853.1379	0	0	3	2	2	0	5	6	5	5	4	1
Cluster-7853.1380	3	1	0	1	0	2	0	4	2	0	3	1
Cluster-7853.1381	0	0	0	1	1	1	4	1	0	2	7	0
Cluster-7853.1382	0	0	0	0	0	0	1	4	2	1	1	0
Cluster-7853.1383	5	0	0	2	0	1	1	2	0	0	0	1
Cluster-7853.1384	0	0	2	0	0	0	4	2	1	1	0	1
Cluster-7853.1385	0	0	0	0	0	0	2	6	0	0	0	0
Cluster-7853.1386	0	0	0	2	2	1	4	0	0	1	0	0
Cluster-7853.1387	708	514	436	198	198	168	489	501	396	191	194	214
Cluster-7853.1388	124	87	169	44	35	43	178	153	114	38	50	41
Cluster-7853.1389	225	208	183	115	100	91	191	218	190	92	92	96
Cluster-7853.1390	0	0	0	0	0	0	4	0	3	0	6	0
Cluster-7853.1391	3	1	0	4	2	1	5	4	3	1	5	2
Cluster-7853.1392	2	4	6	1	2	2	12	9	2	4	2	1
Cluster-7853.1393	1	0	0	0	1	0	0	4	5	2	0	0
Cluster-7853.1394	3	2	3	2	3	2	4	10	4	1	9	4
Cluster-7853.1395	179	329	348	281	271	321	328	358	327	355	252	270
Cluster-7853.1396	0	0	0	0	0	0	7	6	0	0	0	2
Cluster-7853.1397	7	4	3	0	1	2	10	3	4	0	2	6
Cluster-7853.1398	44	63	49	42	45	21	32	42	44	36	24	35
Cluster-7853.1399	0	0	0	0	0	0	8	0	0	0	0	0
Cluster-7853.1400	5	1	0	1	0	0	0	1	0	3	14	2
Cluster-7853.1401	27	15	40	49	25	24	57	42	29	60	66	20
Cluster-7853.1402	17	22	73	94	56	39	21	65	39	172	39	49
Cluster-7853.1403	0	3	1	1	0	0	2	2	1	2	0	0
Cluster-7853.1404	0	0	0	0	0	0	0	6	3	4	0	1
Cluster-7853.1405	0	0	0	0	0	0	1	7	0	10	10	28
Cluster-7853.1406	360	229	236	151	112	237	356	360	142	266	221	263
Cluster-7853.1407	170	101	103	113	119	40	111	146	105	63	88	96
Cluster-7853.1408	6	20	11	25	21	2	2	15	12	9	4	9
Cluster-7853.1409	81	53	36	101	78	64	59	51	41	38	78	57
Cluster-7853.1410	377	281	269	114	164	72	274	295	293	125	175	144
Cluster-7853.1411	0	0	0	0	0	0	9	1	1	1	10	0
Cluster-7853.1412	2	0	0	2	1	0	0	0	0	1	1	2
Cluster-7853.1413	582	266	74	69	79	44	328	115	174	100	56	54
Cluster-7853.1414	0	0	0	0	0	0	3	0	1	0	12	6
Cluster-7853.1415	1	5	0	1	1	0	0	3	3	3	0	0
Cluster-7853.1416	1	0	0	0	1	0	0	3	5	0	2	0
Cluster-7853.1417	18	22	6	3	8	4	0	0	0	0	0	0
Cluster-7853.1418	0	0	2	0	7	2	4	12	8	5	5	2
Cluster-7853.1419	0	0	1	0	1	0	3	18	8	1	7	0
Cluster-7853.1420	2	1	0	1	1	1	75	5	3	3	10	1
Cluster-7853.1421	16	2	4	6	3	1	3	29	5	2	4	3
Cluster-7853.1422	0	0	0	0	0	0	5	0	0	0	5	0
Cluster-7853.1423	0	0	0	0	0	0	3	3	0	0	7	2
Cluster-7853.1424	129	216	132	168	140	90	82	166	153	125	79	148
Cluster-7853.1425	7	2	9	4	4	2	7	6	3	2	1	0
Cluster-7853.1426	4	7	0	5	0	0	0	3	0	0	3	5
Cluster-7853.1427	529	455	528	335	203	277	712	741	615	263	307	293
Cluster-7853.1428	6	1	2	0	0	1	2	0	2	1	2	3
Cluster-7853.1429	5	4	1	2	1	1	5	5	0	1	1	2
Cluster-7853.1430	5	3	2	6	4	2	1	4	2	2	0	3
Cluster-7853.1431	14	6	1	0	2	2	0	4	2	1	1	1
Cluster-7853.1432	0	1	4	2	2	1	1	1	0	1	1	0
Cluster-7853.1433	121	123	105	117	123	87	132	128	115	80	130	81
Cluster-7853.1434	2	1	15	8	1	8	10	22	5	13	0	3
Cluster-7853.1435	25	35	17	26	16	16	15	35	41	36	18	31
Cluster-7853.1436	0	0	0	0	0	0	10	0	0	0	0	0
Cluster-7853.1437	0	0	0	0	0	0	12	0	0	10	0	0
Cluster-7853.1438	0	0	0	0	0	0	5	12	0	0	0	6
Cluster-7853.1439	0	0	0	0	0	0	9	0	42	25	20	17
Cluster-7853.1440	0	0	0	0	0	0	27	27	0	14	14	4
Cluster-7853.1441	0	0	1	1	2	1	1	0	1	3	1	3
Cluster-7853.1442	6	1	0	1	1	0	1	2	2	2	4	1
Cluster-7853.1443	13	5	2	4	4	4	4	13	3	3	0	3
Cluster-7853.1444	0	0	0	0	0	0	3	17	3	7	3	17
Cluster-7853.1445	0	0	0	0	0	0	10	2	0	0	0	0
Cluster-7853.1446	0	0	0	0	0	0	5	4	1	0	0	0
Cluster-7853.1447	530	374	430	316	270	227	241	285	299	249	462	597
Cluster-7853.1448	0	0	1	5	2	1	1	1	6	3	3	4
Cluster-7853.1449	0	0	0	0	0	0	14	2	0	0	1	0
Cluster-7853.1450	0	0	0	0	0	0	0	11	6	4	6	10
Cluster-7853.1451	64	48	46	39	22	14	33	26	25	9	25	29
Cluster-7853.1452	0	0	0	0	0	0	23	12	15	2	6	2
Cluster-7853.1453	0	2	5	4	3	1	8	9	4	1	10	8
Cluster-7853.1454	35	21	26	18	15	14	42	18	23	19	12	8
Cluster-7853.1455	0	0	1	0	3	0	1	4	1	2	0	0
Cluster-7853.1456	2	0	2	1	1	0	3	1	0	0	0	0
Cluster-7853.1457	11	8	9	2	8	4	19	12	5	4	6	3
Cluster-7853.1458	0	0	0	0	0	1	11	7	9	0	0	0
Cluster-7853.1459	0	0	2	6	3	3	2	0	2	1	1	0
Cluster-7853.1460	0	0	0	0	0	0	5	0	0	0	2	3
Cluster-7853.1461	0	0	0	0	0	0	3	3	1	1	0	0
Cluster-7853.1462	8	7	3	7	4	6	7	5	6	3	10	2
Cluster-7853.1463	0	0	0	0	0	0	18	9	8	0	0	2
Cluster-7853.1464	14	15	30	8	8	13	11	20	11	2	9	3
Cluster-7853.1465	11	7	2	2	4	5	3	4	5	1	0	1
Cluster-7853.1466	0	0	0	0	0	0	1	7	1	1	6	0
Cluster-7853.1467	32	26	12	8	22	6	12	16	16	9	12	5
Cluster-7853.1468	37	14	29	30	25	31	74	62	25	26	15	28
Cluster-7853.1469	2	0	1	1	0	0	11	13	1	1	3	2
Cluster-7853.1470	2	1	2	1	3	1	2	0	2	0	0	0
Cluster-7853.1471	5	1	0	2	1	2	3	2	0	0	2	1
Cluster-7853.1472	531	367	263	158	147	179	358	368	226	130	178	115
Cluster-7853.1473	3	0	0	0	0	0	7	4	2	0	0	0
Cluster-7853.1474	0	0	0	0	0	0	18	0	12	0	0	8
Cluster-7853.1475	0	0	0	0	0	0	7	1	0	1	3	3
Cluster-7853.1476	7	6	0	6	9	4	55	46	33	0	6	21
Cluster-7853.1477	0	0	0	0	0	0	0	2	4	3	0	0
Cluster-7853.1478	0	0	0	0	0	0	9	0	0	0	0	0
Cluster-7853.1479	1	0	0	2	0	2	0	2	0	1	0	3
Cluster-7853.1480	245	77	45	48	27	36	112	69	32	31	50	33
Cluster-7853.1481	0	0	0	0	0	0	0	1	0	0	7	1
Cluster-7853.1482	446	1338	864	148	64	66	2292	1203	1382	740	520	715
Cluster-7853.1483	0	0	0	0	0	0	10	0	4	0	0	0
Cluster-7853.1484	7	0	9	0	4	0	42	25	26	11	10	12
Cluster-7853.1485	4	2	2	0	0	0	0	0	2	0	0	0
Cluster-7853.1486	0	0	0	0	0	0	6	0	5	0	0	5
Cluster-7853.1487	0	0	0	0	0	0	19	0	3	0	0	0
Cluster-7853.1488	1	0	0	0	0	0	8	2	1	5	9	3
Cluster-7853.1489	3	5	4	6	9	4	11	11	1	7	2	4
Cluster-7853.1490	2	2	4	5	5	11	2	6	2	2	1	2
Cluster-7853.1491	175	150	266	232	149	244	310	243	168	149	173	136
Cluster-7853.1492	0	0	1	1	2	1	1	2	3	1	3	1
Cluster-7853.1493	0	0	0	0	0	0	43	15	1	0	31	16
Cluster-7853.1494	55	67	225	64	51	57	93	304	212	138	102	188
Cluster-7853.1495	0	0	0	0	0	0	3	1	0	4	0	5
Cluster-7853.1496	0	0	0	0	0	0	2	6	0	0	0	0
Cluster-7853.1497	97	78	249	221	178	127	177	174	126	68	88	66
Cluster-7853.1498	74	94	54	52	63	46	60	74	71	41	54	80
Cluster-7853.1499	0	0	0	0	0	0	14	0	0	3	4	0
Cluster-7853.1500	0	0	0	0	0	0	8	0	0	0	0	2
Cluster-7853.1501	1	0	2	1	2	0	1	0	0	2	0	0
Cluster-7853.1502	3	6	197	138	252	75	1048	612	482	300	189	117
Cluster-7853.1503	36	44	20	3	4	2	15	24	11	3	7	3
Cluster-7853.1504	2	3	0	0	1	0	0	2	2	1	1	0
Cluster-7853.1505	102	100	418	156	169	335	558	519	421	346	388	348
Cluster-7853.1506	0	0	0	0	0	1	0	2	3	4	3	2
Cluster-7853.1507	0	0	0	0	0	0	1	5	0	4	1	4
Cluster-7853.1508	57	104	233	24	71	44	49	54	103	21	19	37
Cluster-7853.1509	70	33	23	47	40	33	44	33	40	27	20	23
Cluster-7853.1510	93	59	82	43	45	93	144	84	68	42	49	54
Cluster-7853.1511	4	6	23	4	0	1	4	0	19	2	2	1
Cluster-7853.1512	73	46	56	39	41	42	97	53	13	21	17	24
Cluster-7853.1513	43	23	26	22	23	16	40	58	41	26	32	33
Cluster-7853.1514	208	146	233	259	241	237	323	300	237	227	210	196
Cluster-7853.1515	117	82	109	77	68	100	145	178	91	71	81	81
Cluster-7853.1516	139	83	148	185	176	198	224	128	121	175	168	119
Cluster-7853.1517	1	0	0	1	2	1	1	4	2	0	2	0
Cluster-7853.1518	2	0	0	0	0	0	2	0	2	0	2	2
Cluster-7853.1519	1	2	2	4	1	5	8	4	4	7	2	5
Cluster-7853.1520	0	0	0	0	0	0	13	0	0	0	0	0
Cluster-7853.1521	0	0	0	0	0	0	0	7	0	0	1	0
Cluster-7853.1522	0	0	0	0	0	0	5	3	0	0	1	4
Cluster-7853.1523	0	0	0	0	0	0	2	0	19	0	40	0
Cluster-7853.1524	0	0	0	0	0	0	2	0	5	3	12	3
Cluster-7853.1525	0	0	0	0	0	0	3	4	1	0	0	0
Cluster-7853.1526	8	4	1	4	2	3	3	3	0	0	1	2
Cluster-7853.1527	0	0	0	0	0	0	19	1	0	3	97	77
Cluster-7853.1528	0	0	0	0	0	0	1	2	0	5	1	0
Cluster-7853.1529	289	325	367	68	106	65	253	246	504	98	110	125
Cluster-7853.1530	0	0	4	0	0	0	9	0	2	0	0	0
Cluster-7853.1531	0	0	0	0	0	0	7	21	33	0	0	10
Cluster-7853.1532	0	0	0	0	0	0	7	0	0	4	0	0
Cluster-7853.1533	0	2	0	2	1	2	1	1	2	0	0	0
Cluster-7853.1534	0	0	0	0	0	0	2	4	7	6	8	7
Cluster-7853.1535	0	1	1	0	0	4	2	0	0	0	0	1
Cluster-7853.1536	66	74	87	77	101	48	101	109	121	74	68	70
Cluster-7853.1537	0	0	0	0	0	0	1	12	1	0	0	4
Cluster-7853.1538	0	0	0	1	0	0	15	5	1	5	3	9
Cluster-7853.1539	12	2	0	4	7	0	4	0	4	1	8	4
Cluster-7853.1540	1	0	0	1	1	0	1	0	1	2	1	1
Cluster-7853.1541	69	47	13	24	42	13	18	6	17	28	13	23
Cluster-7853.1542	0	0	0	1	0	0	1	2	0	2	1	3
Cluster-7853.1543	0	0	0	0	0	0	8	2	1	2	1	0
Cluster-7853.1544	2	0	0	0	0	0	2	1	0	0	2	0
Cluster-7853.1545	0	0	0	0	0	0	11	0	0	0	31	0
Cluster-7853.1546	2	3	2	3	2	4	7	5	0	3	6	1
Cluster-7853.1547	18	2	4	3	4	0	5	6	0	0	9	2
Cluster-7853.1548	1	0	0	0	0	0	0	3	0	0	0	2
Cluster-7853.1549	38	17	15	9	6	10	17	11	3	12	16	11
Cluster-7853.1550	0	3	0	1	0	2	2	1	1	0	2	2
Cluster-7853.1551	0	0	0	0	0	0	15	1	1	1	3	0
Cluster-7853.1552	0	0	0	0	0	0	3	1	5	0	9	1
Cluster-7853.1553	0	0	0	0	0	0	4	7	3	4	4	1
Cluster-7853.1554	0	0	0	0	0	0	2	3	0	0	16	0
Cluster-7853.1555	0	0	0	0	0	0	0	3	1	0	5	3
Cluster-7853.1556	0	0	17	2	0	0	3	55	18	0	0	0
Cluster-7853.1557	209	117	46	53	36	42	60	30	35	25	36	21
Cluster-7853.1558	0	0	0	0	0	0	7	3	0	0	4	0
Cluster-7853.1559	0	0	0	1	2	1	4	0	0	1	2	0
Cluster-7853.1560	0	0	0	0	0	0	4	7	0	4	0	9
Cluster-7853.1561	0	0	0	0	0	0	8	3	0	0	0	0
Cluster-7853.1562	0	0	0	0	2	0	4	1	1	0	0	0
Cluster-7853.1563	0	1	0	0	0	0	3	2	2	1	9	0
Cluster-7853.1564	0	0	0	0	0	0	10	1	0	0	0	0
Cluster-7853.1565	0	0	0	0	0	0	4	12	2	10	6	18
Cluster-7853.1566	428	188	249	35	41	27	462	346	291	69	88	79
Cluster-7853.1567	1	2	1	0	1	0	1	0	3	0	0	1
Cluster-7853.1568	29	9	11	40	18	23	24	0	4	8	20	8
Cluster-7853.1569	52	12	668	282	270	174	2594	2196	2447	711	407	508
Cluster-7853.1570	15	3	206	213	185	125	611	469	999	408	123	212
Cluster-7853.1571	4	2	2	1	2	0	10	21	13	0	0	1
Cluster-7853.1572	19	13	15	6	2	2	17	6	2	1	2	0
Cluster-7853.1573	30	17	45	25	26	18	10	25	62	21	8	12
Cluster-7853.1574	0	4	0	0	0	0	3	0	0	17	0	0
Cluster-7853.1575	97	78	82	25	22	24	75	79	57	12	15	16
Cluster-7853.1576	7	3	0	0	4	0	0	0	0	0	0	0
Cluster-7853.1577	0	0	8	0	0	0	3	0	4	0	0	0
Cluster-7853.1578	192	195	167	271	216	148	74	116	129	125	156	165
Cluster-7853.1579	0	0	0	0	0	0	0	1	1	0	0	4
Cluster-7853.1580	0	0	0	0	0	0	36	0	0	16	0	0
Cluster-7853.1581	0	4	1	1	3	2	3	5	0	0	2	0
Cluster-7853.1582	1	3	4	11	7	8	2	1	2	1	7	3
Cluster-7853.1583	0	0	0	0	0	0	15	8	6	5	0	1
Cluster-7853.1584	237	120	93	149	121	96	80	103	60	147	167	128
Cluster-7853.1585	0	0	0	0	0	0	15	0	0	0	1	0
Cluster-7853.1586	120	97	123	65	71	51	273	207	142	61	74	54
Cluster-7853.1587	0	0	0	1	0	0	4	5	1	0	0	3
Cluster-7853.1588	1	1	0	0	0	1	4	1	3	0	0	0
Cluster-7853.1589	3	1	0	1	4	2	13	0	0	3	1	2
Cluster-7853.1590	0	0	0	0	0	0	4	13	0	0	0	0
Cluster-7853.1591	0	0	0	0	0	0	8	1	0	0	0	1
Cluster-7853.1592	0	0	0	0	0	0	4	0	6	4	0	0
Cluster-7853.1593	0	0	0	0	0	0	0	1	3	2	4	1
Cluster-7853.1594	0	0	1	0	0	0	5	0	0	2	1	0
Cluster-7853.1595	0	0	0	0	0	0	7	2	0	1	0	0
Cluster-7853.1596	1	0	0	0	0	0	0	1	0	0	12	0
Cluster-7853.1597	23	1	2	3	4	3	15	2	4	2	9	5
Cluster-7853.1598	4	6	5	0	1	1	2	0	0	0	1	0
Cluster-7853.1599	24	179	138	151	103	73	528	1474	1579	433	458	428
Cluster-7853.1600	0	0	0	0	0	0	7	0	0	3	0	0
Cluster-7853.1601	6	0	0	0	0	2	1	0	0	0	0	0
Cluster-7853.1602	77	53	54	13	12	21	44	52	57	10	6	9
Cluster-7853.1603	0	0	0	0	0	0	3	3	0	4	3	4
Cluster-7853.1604	0	0	0	0	0	0	1	4	4	0	1	2
Cluster-7853.1605	4	1	3	1	1	0	1	0	0	0	0	0
Cluster-7853.1606	16	9	5	4	4	3	2	2	0	0	0	0
Cluster-7853.1607	8	6	5	5	1	1	5	10	2	3	6	1
Cluster-7853.1608	0	0	2	0	3	2	0	0	2	1	1	0
Cluster-7853.1609	3	0	21	23	109	290	135	82	34	186	315	92
Cluster-7853.1610	0	0	0	0	0	0	13	0	10	8	24	17
Cluster-7853.1611	7	0	0	1	0	0	6	7	4	2	2	0
Cluster-7853.1612	0	4	0	0	0	0	19	9	15	0	6	0
Cluster-7853.1613	0	17	0	0	0	0	1	2	4	0	1	0
Cluster-7853.1614	0	0	0	0	0	0	11	11	0	0	8	0
Cluster-7853.1615	0	0	0	0	0	0	20	21	13	6	5	0
Cluster-7853.1616	161	153	149	156	167	129	191	160	141	115	131	118
Cluster-7853.1617	0	0	0	0	0	0	2	6	0	3	2	1
Cluster-7853.1618	0	0	0	0	0	0	6	1	0	0	34	3
Cluster-7853.1619	0	0	2	0	2	2	5	0	0	0	2	1
Cluster-7853.1620	0	0	0	0	0	0	1	6	3	5	0	3
Cluster-7853.1621	22	80	38	71	39	31	14	39	67	40	44	55
Cluster-7853.1622	4	1	1	1	1	3	4	10	12	2	2	4
Cluster-7853.1623	148	192	124	162	97	94	90	127	84	114	171	120
Cluster-7853.1624	46	18	15	18	5	8	41	41	43	5	45	25
Cluster-7853.1625	1	0	0	0	0	0	2	5	3	0	0	0
Cluster-7853.1626	0	0	0	0	0	0	9	0	0	0	1	0
Cluster-7853.1627	3	1	0	0	2	4	5	0	3	1	2	1
Cluster-7853.1628	6	0	0	1	0	2	1	2	0	1	1	0
Cluster-7853.1629	0	0	0	0	0	0	9	6	0	0	0	3
Cluster-7853.1630	0	0	0	0	0	0	25	0	17	0	0	0
Cluster-7853.1631	0	0	0	0	0	1	19	0	3	0	0	0
Cluster-7853.1632	0	0	0	0	0	0	5	0	10	0	0	11
Cluster-7853.1633	1	0	0	0	0	0	1	7	7	0	8	0
Cluster-7853.1634	0	0	0	0	0	0	10	0	0	0	0	0
Cluster-7853.1635	0	0	0	0	0	0	7	17	7	0	7	0
Cluster-7853.1636	0	0	0	0	0	0	20	0	2	0	3	2
Cluster-7853.1637	7	1	0	0	0	0	3	2	1	2	1	2
Cluster-7853.1638	0	0	0	0	0	0	1	0	1	5	3	3
Cluster-7853.1639	0	0	0	0	0	0	1	1	9	1	0	3
Cluster-7853.1640	0	0	0	0	0	0	1	1	0	0	5	2
Cluster-7853.1641	7	0	5	4	1	4	3	6	3	4	0	0
Cluster-7853.1642	2	6	1	2	0	0	2	0	0	0	0	0
Cluster-7853.1643	0	0	0	0	0	0	5	5	0	0	0	0
Cluster-7853.1644	0	3	4	1	6	8	9	9	12	7	3	4
Cluster-7853.1645	0	0	0	0	0	0	11	0	0	0	0	0
Cluster-7853.1646	0	0	8	0	1	0	1	3	9	3	1	1
Cluster-7853.1647	0	0	0	0	0	0	1	0	14	11	1	22
Cluster-7853.1648	0	0	0	0	0	0	6	1	0	0	3	0
Cluster-7853.1649	0	0	0	0	0	0	2	1	2	1	2	2
Cluster-7853.1650	0	0	0	0	0	0	8	3	8	31	0	2
Cluster-7853.1651	0	0	0	0	0	0	21	0	0	0	0	0
Cluster-7853.1652	0	0	0	0	0	0	7	0	1	2	2	0
Cluster-7853.1653	0	0	0	0	0	0	10	0	3	0	0	0
Cluster-7853.1654	0	0	0	0	0	0	12	0	0	0	0	3
Cluster-7853.1655	0	0	0	0	0	0	4	0	12	0	0	0
Cluster-7853.1656	4	0	0	0	0	0	1	1	0	0	4	1
Cluster-7853.1657	0	0	0	0	0	0	46	20	1	0	3	0
Cluster-7853.1658	0	0	0	1	0	0	10	2	0	1	4	1
Cluster-7853.1659	154	50	255	10	3	4	765	526	495	20	6	9
Cluster-7853.1660	4	1	0	2	0	1	0	0	0	0	0	0
Cluster-7853.1661	23	15	75	45	56	25	101	115	150	19	35	35
Cluster-7853.1662	372	371	348	130	91	110	380	370	317	138	143	151
Cluster-7853.1663	251	203	183	158	163	118	209	215	200	182	133	203
Cluster-7853.1664	0	0	0	0	0	0	6	0	4	3	0	0
Cluster-7853.1665	0	0	0	0	0	0	3	0	0	0	13	0
Cluster-7853.1666	0	0	0	0	0	0	86	0	41	0	16	117
Cluster-7853.1667	0	0	0	0	0	0	6	0	2	0	0	1
Cluster-7853.1668	0	0	0	0	0	0	11	0	0	0	0	0
Cluster-7853.1669	0	0	0	0	0	0	2	2	1	1	1	0
Cluster-7853.1670	0	0	0	0	0	0	13	11	6	0	2	0
Cluster-7853.1671	0	3	3	0	0	0	0	1	3	0	0	0
Cluster-7853.1672	7	2	2	2	1	0	4	6	1	4	2	1
Cluster-7853.1673	54	93	54	55	45	34	21	29	59	41	19	29
Cluster-7853.1674	0	0	0	1	0	6	1	0	2	2	0	0
Cluster-7853.1675	17	4	4	10	5	4	5	3	2	0	0	1
Cluster-7853.1676	6	2	2	0	0	0	45	66	22	11	1	14
Cluster-7853.1677	281	248	351	86	67	80	453	279	177	92	56	72
Cluster-7853.1678	0	0	0	0	0	0	13	4	0	0	0	0
Cluster-7853.1679	0	0	0	0	0	0	1	2	0	0	0	6
Cluster-7853.1680	0	0	0	0	0	0	7	0	0	0	0	0
Cluster-7853.1681	0	0	0	0	0	0	2	2	5	0	0	0
Cluster-7853.1682	0	0	0	1	0	0	16	21	13	0	1	1
Cluster-7853.1683	0	0	0	0	0	0	7	0	0	0	0	1
Cluster-7853.1684	396	241	219	114	120	143	192	237	124	84	115	89
Cluster-7853.1685	0	0	0	0	0	0	1	2	0	3	28	1
Cluster-7853.1686	6	2	5	4	9	8	0	5	5	3	4	0
Cluster-7853.1687	0	1	0	1	0	0	10	5	3	0	2	0
Cluster-7853.1688	0	0	3	0	0	0	2	0	3	1	0	1
Cluster-7853.1689	0	0	0	0	0	0	7	2	1	2	5	1
Cluster-7853.1690	0	4	0	1	1	0	3	3	1	0	0	0
Cluster-7853.1691	1	4	4	2	4	0	3	5	1	0	1	2
Cluster-7853.1692	8	0	0	6	1	2	0	0	0	0	0	0
Cluster-7853.1693	11	13	11	1	3	0	2	3	5	4	26	9
Cluster-7853.1694	73	34	113	20	29	50	160	172	57	49	74	31
Cluster-7853.1695	82	44	101	24	21	36	199	102	63	99	111	84
Cluster-7853.1696	9	2	2	4	1	0	21	1	1	16	0	11
Cluster-7853.1697	1	2	0	0	0	0	3	1	0	1	0	3
Cluster-7853.1698	1	1	5	0	0	1	12	17	1	5	1	0
Cluster-7853.1699	6	0	6	2	0	2	6	12	31	5	57	17
Cluster-7853.1700	38	13	43	23	15	11	36	66	22	26	26	19
Cluster-7853.1701	89	35	23	58	39	19	13	52	30	18	39	18
Cluster-7853.1702	6	0	0	3	3	0	0	0	0	0	0	0
Cluster-7853.1703	1	0	2	0	0	0	4	4	0	1	0	1
Cluster-7853.1704	0	1	1	0	0	1	0	1	1	1	11	3
Cluster-7853.1705	0	0	4	0	0	1	0	9	0	0	3	2
Cluster-7853.1706	0	19	35	0	0	0	0	0	0	0	0	0
Cluster-7853.1707	0	6	16	0	0	0	0	0	0	0	0	0
Cluster-7853.1708	0	2	10	0	0	0	0	0	1	1	0	0
Cluster-7853.1709	84	122	193	109	95	42	47	150	257	116	82	137
Cluster-7853.1710	0	2	2	6	6	3	4	6	5	2	1	2
Cluster-7853.1711	3	4	4	2	1	1	5	5	4	1	1	5
Cluster-7853.1712	0	0	0	0	0	0	8	23	2	5	10	6
Cluster-7853.1713	300	275	346	186	178	205	483	353	227	288	244	271
Cluster-7853.1714	10	1	7	2	3	1	14	2	0	0	5	0
Cluster-7853.1715	0	0	0	0	0	0	14	7	1	2	15	1
Cluster-7853.1716	10	0	1	0	0	0	3	0	0	0	3	0
Cluster-7853.1717	2	0	0	0	0	0	0	2	0	1	2	0
Cluster-7853.1718	134	98	51	69	53	63	51	77	46	46	64	51
Cluster-7853.1719	0	0	0	0	0	4	5	0	8	0	0	2
Cluster-7853.1720	0	0	0	0	0	1	0	0	0	15	0	0
Cluster-7853.1721	0	0	0	0	0	11	0	3	0	5	0	1
Cluster-7853.1722	0	0	1	1	2	1	1	0	3	0	0	0
Cluster-7853.1723	46	26	27	16	19	22	29	23	14	8	18	15
Cluster-7853.1724	14	10	7	5	5	5	9	8	2	6	2	4
Cluster-7853.1725	259	119	119	165	215	142	176	134	126	106	221	153
Cluster-7853.1726	4	10	13	12	8	10	5	18	35	4	9	6
Cluster-7853.1727	276	343	507	380	267	209	419	471	363	481	345	349
